Transaction_ID,Date,Business_ID,Category,Cash_Inflow,Cash_Outflow,Net_Cashflow,Payment_Method,Notes
TXN_NEW00001,2024-07-27,SMB241,Payroll,0,27282,-27282,Credit,Warning: Negative cashflow
TXN_NEW00002,2024-07-11,SMB240,Rent,0,9543,-9543,Online Wallet,Warning: Negative cashflow
TXN_NEW00003,2025-07-20,SMB217,Payroll,0,28006,-28006,Credit,Warning: Negative cashflow
TXN_NEW00004,2024-12-18,SMB237,Payroll,0,6706,-6706,Cash,Warning: Negative cashflow
TXN_NEW00005,2024-09-16,SMB229,Miscellaneous,5322,0,5322,Credit,Market fluctuation
TXN_NEW00006,2025-07-07,SMB218,Sales Revenue,25185,0,25185,Cash,Seasonal effect
TXN_NEW00007,2025-07-18,SMB210,Inventory Purchase,0,15345,-15345,Credit,Warning: Negative cashflow
TXN_NEW00008,2025-01-23,SMB225,Payroll,0,10904,-10904,Bank Transfer,Warning: Negative cashflow
TXN_NEW00009,2025-05-09,SMB207,Payroll,0,11026,-11026,Credit,Warning: Negative cashflow
TXN_NEW00010,2024-11-22,SMB232,Rent,0,5454,-5454,Credit,Warning: Negative cashflow
TXN_NEW00011,2024-10-13,SMB250,Rent,0,30876,-30876,Online Wallet,Warning: Negative cashflow
TXN_NEW00012,2025-06-06,SMB241,Payroll,0,3784,-3784,Credit,Warning: Negative cashflow
TXN_NEW00013,2024-12-21,SMB246,Rent,0,25720,-25720,Bank Transfer,Warning: Negative cashflow
TXN_NEW00014,2024-07-09,SMB212,Inventory Purchase,0,19247,-19247,Cash,Warning: Negative cashflow
TXN_NEW00015,2024-10-27,SMB213,Rent,0,6150,-6150,Bank Transfer,Warning: Negative cashflow
TXN_NEW00016,2024-08-07,SMB211,Payroll,0,15807,-15807,Bank Transfer,Warning: Negative cashflow
TXN_NEW00017,2025-02-14,SMB216,Inventory Purchase,0,3064,-3064,Credit,Warning: Negative cashflow
TXN_NEW00018,2024-11-15,SMB224,Payroll,0,27719,-27719,Credit,Warning: Negative cashflow
TXN_NEW00019,2024-09-12,SMB230,Miscellaneous,0,11138,-11138,Online Wallet,Warning: Negative cashflow
TXN_NEW00020,2024-09-26,SMB242,Payroll,0,18658,-18658,Credit,Warning: Negative cashflow
TXN_NEW00021,2024-10-18,SMB219,Miscellaneous,10612,0,10612,Bank Transfer,Customer delay
TXN_NEW00022,2024-12-22,SMB225,Miscellaneous,10865,0,10865,Bank Transfer,Normal transaction
TXN_NEW00023,2024-06-23,SMB227,Rent,0,32278,-32278,Bank Transfer,Warning: Negative cashflow
TXN_NEW00024,2024-10-24,SMB235,Miscellaneous,0,6942,-6942,Bank Transfer,Warning: Negative cashflow
TXN_NEW00025,2024-07-15,SMB240,Loan Repayment,0,30788,-30788,Cash,Warning: Negative cashflow
TXN_NEW00026,2025-03-19,SMB202,Miscellaneous,0,6915,-6915,Bank Transfer,Warning: Negative cashflow
TXN_NEW00027,2025-07-26,SMB235,Payroll,0,15064,-15064,Online Wallet,Warning: Negative cashflow
TXN_NEW00028,2024-07-30,SMB217,Rent,0,4887,-4887,Cash,Warning: Negative cashflow
TXN_NEW00029,2024-09-24,SMB250,Inventory Purchase,0,15670,-15670,Online Wallet,Warning: Negative cashflow
TXN_NEW00030,2024-06-21,SMB241,Payroll,0,3718,-3718,Cash,Warning: Negative cashflow
TXN_NEW00031,2025-03-31,SMB235,Rent,0,34592,-34592,Credit,Warning: Negative cashflow
TXN_NEW00032,2024-07-31,SMB231,Sales Revenue,34713,0,34713,Cash,Seasonal effect
TXN_NEW00033,2025-02-11,SMB240,Sales Revenue,46320,0,46320,Credit,Market fluctuation
TXN_NEW00034,2025-02-15,SMB215,Miscellaneous,11708,0,11708,Online Wallet,Seasonal effect
TXN_NEW00035,2025-08-25,SMB234,Sales Revenue,882949,0,882949,Cash,Large inflow spike
TXN_NEW00036,2024-08-16,SMB208,Miscellaneous,0,71162,-68363,Bank Transfer,Warning: Negative cashflow
TXN_NEW00037,2024-12-11,SMB227,Inventory Purchase,0,25053,-25053,Bank Transfer,Warning: Negative cashflow
TXN_NEW00038,2025-06-01,SMB232,Loan Repayment,0,12125,-12125,Credit,Warning: Negative cashflow
TXN_NEW00039,2024-12-07,SMB234,Payroll,0,15143,-15143,Credit,Warning: Negative cashflow
TXN_NEW00040,2024-10-14,SMB244,Payroll,0,34369,-34369,Online Wallet,Warning: Negative cashflow
TXN_NEW00041,2025-03-09,SMB206,Inventory Purchase,0,8121,-8121,Bank Transfer,Warning: Negative cashflow
TXN_NEW00042,2025-04-09,SMB237,Rent,0,70684,-56117,Bank Transfer,Warning: Negative cashflow
TXN_NEW00043,2025-04-03,SMB239,Sales Revenue,28193,0,28193,Online Wallet,Seasonal effect
TXN_NEW00044,2025-06-12,SMB230,Rent,0,14356,-14356,Bank Transfer,Warning: Negative cashflow
TXN_NEW00045,2025-03-24,SMB207,Inventory Purchase,0,26045,-26045,Cash,Warning: Negative cashflow
TXN_NEW00046,2025-05-29,SMB206,Payroll,0,26696,-26696,Cash,Warning: Negative cashflow
TXN_NEW00047,2025-03-02,SMB218,Inventory Purchase,0,23653,-23653,Cash,Warning: Negative cashflow
TXN_NEW00048,2025-05-30,SMB225,Loan Repayment,0,2567,-2567,Online Wallet,Warning: Negative cashflow
TXN_NEW00049,2024-12-07,SMB248,Inventory Purchase,0,32224,-32224,Online Wallet,Warning: Negative cashflow
TXN_NEW00050,2024-09-11,SMB226,Loan Repayment,0,12139,-12139,Online Wallet,Warning: Negative cashflow
TXN_NEW00051,2025-01-27,SMB238,Rent,0,14763,-14763,Cash,Warning: Negative cashflow
TXN_NEW00052,2025-07-25,SMB230,Payroll,0,4124,-4124,Cash,Warning: Negative cashflow
TXN_NEW00053,2025-03-25,SMB245,Rent,0,90170,-74410,Credit,Warning: Negative cashflow
TXN_NEW00054,2024-07-26,SMB243,Inventory Purchase,0,5230,-5230,Cash,Warning: Negative cashflow
TXN_NEW00055,2024-08-18,SMB211,Inventory Purchase,0,33791,-33791,Credit,Warning: Negative cashflow
TXN_NEW00056,2024-09-27,SMB214,Rent,0,25402,-25402,Credit,Warning: Negative cashflow
TXN_NEW00057,2024-12-08,SMB226,Miscellaneous,5066,0,5066,Bank Transfer,Normal transaction
TXN_NEW00058,2024-08-13,SMB228,Miscellaneous,6898,0,6898,Cash,Market fluctuation
TXN_NEW00059,2025-05-19,SMB218,Payroll,0,145389,-116435,Bank Transfer,Warning: Negative cashflow
TXN_NEW00060,2025-01-13,SMB246,Sales Revenue,56229,0,56229,Cash,Normal transaction
TXN_NEW00061,2024-06-26,SMB234,Loan Repayment,0,18406,-18406,Online Wallet,Warning: Negative cashflow
TXN_NEW00062,2025-07-23,SMB210,Payroll,0,17316,-17316,Cash,Warning: Negative cashflow
TXN_NEW00063,2025-02-23,SMB230,Payroll,0,22714,-22714,Online Wallet,Warning: Negative cashflow
TXN_NEW00064,2025-02-07,SMB229,Inventory Purchase,0,23766,-23766,Online Wallet,Warning: Negative cashflow
TXN_NEW00065,2024-12-11,SMB219,Rent,0,15307,-15307,Credit,Warning: Negative cashflow
TXN_NEW00066,2025-06-26,SMB246,Miscellaneous,11258,0,11258,Online Wallet,Customer delay
TXN_NEW00067,2024-11-15,SMB211,Miscellaneous,7275,0,7275,Cash,Customer delay
TXN_NEW00068,2025-02-19,SMB232,Sales Revenue,41464,0,41464,Online Wallet,Seasonal effect
TXN_NEW00069,2025-01-11,SMB243,Inventory Purchase,0,3028,-3028,Online Wallet,Warning: Negative cashflow
TXN_NEW00070,2024-08-02,SMB216,Payroll,0,28162,-28162,Online Wallet,Warning: Negative cashflow
TXN_NEW00071,2025-01-16,SMB219,Inventory Purchase,0,27816,-27816,Online Wallet,Warning: Negative cashflow
TXN_NEW00072,2025-08-18,SMB210,Loan Repayment,0,7796,-7796,Online Wallet,Warning: Negative cashflow
TXN_NEW00073,2024-07-14,SMB213,Miscellaneous,0,4479,-4479,Credit,Warning: Negative cashflow
TXN_NEW00074,2024-12-22,SMB220,Miscellaneous,8301,0,8301,Online Wallet,Normal transaction
TXN_NEW00075,2025-05-23,SMB249,Payroll,0,12183,-12183,Credit,Warning: Negative cashflow
TXN_NEW00076,2025-07-02,SMB214,Payroll,0,53356,-44630,Online Wallet,Warning: Negative cashflow
TXN_NEW00077,2025-08-12,SMB249,Loan Repayment,0,2757,-2757,Bank Transfer,Warning: Negative cashflow
TXN_NEW00078,2025-03-17,SMB245,Inventory Purchase,0,27696,-27696,Bank Transfer,Warning: Negative cashflow
TXN_NEW00079,2024-12-23,SMB238,Inventory Purchase,0,16444,-16444,Bank Transfer,Warning: Negative cashflow
TXN_NEW00080,2025-02-16,SMB212,Miscellaneous,0,9638,-9638,Credit,Warning: Negative cashflow
TXN_NEW00081,2024-07-13,SMB238,Loan Repayment,0,26043,-26043,Cash,Warning: Negative cashflow
TXN_NEW00082,2025-04-22,SMB209,Inventory Purchase,0,4945,-4945,Cash,Warning: Negative cashflow
TXN_NEW00083,2025-02-09,SMB212,Miscellaneous,0,1536,-1536,Cash,Warning: Negative cashflow
TXN_NEW00084,2024-07-29,SMB230,Inventory Purchase,0,20084,-20084,Cash,Warning: Negative cashflow
TXN_NEW00085,2025-04-28,SMB214,Inventory Purchase,0,17815,-17815,Credit,Warning: Negative cashflow
TXN_NEW00086,2024-10-09,SMB248,Miscellaneous,0,7774,-7774,Online Wallet,Warning: Negative cashflow
TXN_NEW00087,2025-05-16,SMB215,Miscellaneous,0,6649,-6649,Credit,Warning: Negative cashflow
TXN_NEW00088,2025-05-20,SMB203,Payroll,0,15319,-15319,Bank Transfer,Warning: Negative cashflow
TXN_NEW00089,2024-12-11,SMB245,Payroll,0,28213,-28213,Online Wallet,Warning: Negative cashflow
TXN_NEW00090,2025-01-03,SMB204,Inventory Purchase,0,34943,-34943,Cash,Warning: Negative cashflow
TXN_NEW00091,2025-06-08,SMB207,Loan Repayment,0,28630,-28630,Credit,Warning: Negative cashflow
TXN_NEW00092,2024-10-29,SMB213,Sales Revenue,58640,0,58640,Cash,Market fluctuation
TXN_NEW00093,2025-06-06,SMB226,Loan Repayment,0,6823,-6823,Credit,Warning: Negative cashflow
TXN_NEW00094,2025-07-08,SMB227,Miscellaneous,1450,0,1450,Credit,Seasonal effect
TXN_NEW00095,2024-09-13,SMB204,Miscellaneous,2841,0,2841,Credit,Normal transaction
TXN_NEW00096,2024-11-14,SMB234,Miscellaneous,1869,0,1869,Online Wallet,Customer delay
TXN_NEW00097,2024-10-12,SMB211,Loan Repayment,0,21320,-21320,Online Wallet,Warning: Negative cashflow
TXN_NEW00098,2024-06-25,SMB234,Loan Repayment,0,12235,-12235,Bank Transfer,Warning: Negative cashflow
TXN_NEW00099,2024-11-22,SMB245,Payroll,0,28832,-28832,Online Wallet,Warning: Negative cashflow
TXN_NEW00100,2025-07-05,SMB238,Miscellaneous,1432,0,1432,Bank Transfer,Market fluctuation
TXN_NEW00101,2024-07-16,SMB250,Sales Revenue,17927,0,17927,Cash,Seasonal effect
TXN_NEW00102,2024-07-01,SMB215,Sales Revenue,10785,0,10785,Online Wallet,Market fluctuation
TXN_NEW00103,2025-01-25,SMB203,Sales Revenue,6319,0,6319,Online Wallet,Normal transaction
TXN_NEW00104,2025-04-13,SMB229,Payroll,0,7606,-7606,Credit,Warning: Negative cashflow
TXN_NEW00105,2025-08-19,SMB237,Loan Repayment,0,13951,-13951,Bank Transfer,Warning: Negative cashflow
TXN_NEW00106,2025-07-11,SMB209,Miscellaneous,0,5596,-5596,Online Wallet,Warning: Negative cashflow
TXN_NEW00107,2025-01-20,SMB243,Miscellaneous,8624,0,8624,Online Wallet,Customer delay
TXN_NEW00108,2025-06-09,SMB201,Loan Repayment,0,14219,-14219,Online Wallet,Warning: Negative cashflow
TXN_NEW00109,2024-11-02,SMB203,Loan Repayment,0,21153,-21153,Cash,Warning: Negative cashflow
TXN_NEW00110,2025-07-07,SMB205,Payroll,0,18437,-18437,Online Wallet,Warning: Negative cashflow
TXN_NEW00111,2025-04-16,SMB237,Payroll,0,11358,-11358,Bank Transfer,Warning: Negative cashflow
TXN_NEW00112,2024-07-29,SMB213,Loan Repayment,0,32627,-32627,Cash,Warning: Negative cashflow
TXN_NEW00113,2025-08-09,SMB227,Loan Repayment,0,29196,-29196,Credit,Warning: Negative cashflow
TXN_NEW00114,2024-12-30,SMB217,Miscellaneous,0,10364,-10364,Credit,Warning: Negative cashflow
TXN_NEW00115,2025-04-19,SMB234,Inventory Purchase,0,22764,-22764,Online Wallet,Warning: Negative cashflow
TXN_NEW00116,2025-07-03,SMB226,Inventory Purchase,0,7787,-7787,Cash,Warning: Negative cashflow
TXN_NEW00117,2025-03-03,SMB231,Rent,0,5885,-5885,Credit,Warning: Negative cashflow
TXN_NEW00118,2024-07-08,SMB235,Inventory Purchase,0,18315,-18315,Online Wallet,Warning: Negative cashflow
TXN_NEW00119,2024-12-28,SMB241,Miscellaneous,0,2781,-2781,Bank Transfer,Warning: Negative cashflow
TXN_NEW00120,2024-10-15,SMB242,Loan Repayment,0,21243,-21243,Bank Transfer,Warning: Negative cashflow
TXN_NEW00121,2025-08-10,SMB202,Payroll,0,28704,-28704,Online Wallet,Warning: Negative cashflow
TXN_NEW00122,2024-08-16,SMB203,Sales Revenue,57502,0,57502,Cash,Market fluctuation
TXN_NEW00123,2024-07-07,SMB228,Inventory Purchase,0,28457,-28457,Cash,Warning: Negative cashflow
TXN_NEW00124,2025-07-26,SMB205,Payroll,0,11985,-11985,Online Wallet,Warning: Negative cashflow
TXN_NEW00125,2024-09-16,SMB215,Rent,0,17862,-17862,Bank Transfer,Warning: Negative cashflow
TXN_NEW00126,2024-11-26,SMB221,Sales Revenue,15137,0,15137,Online Wallet,Seasonal effect
TXN_NEW00127,2024-10-01,SMB247,Inventory Purchase,0,7124,-7124,Online Wallet,Warning: Negative cashflow
TXN_NEW00128,2024-09-09,SMB213,Sales Revenue,55867,0,55867,Credit,Market fluctuation
TXN_NEW00129,2024-06-15,SMB223,Sales Revenue,50330,0,50330,Cash,Market fluctuation
TXN_NEW00130,2024-11-02,SMB204,Inventory Purchase,0,21733,-21733,Credit,Warning: Negative cashflow
TXN_NEW00131,2025-08-06,SMB228,Inventory Purchase,0,12340,-12340,Credit,Warning: Negative cashflow
TXN_NEW00132,2025-03-12,SMB214,Sales Revenue,6014,0,6014,Online Wallet,Customer delay
TXN_NEW00133,2024-09-26,SMB217,Miscellaneous,6233,0,6233,Bank Transfer,Market fluctuation
TXN_NEW00134,2024-09-14,SMB203,Payroll,0,4150,-4150,Online Wallet,Warning: Negative cashflow
TXN_NEW00135,2024-10-14,SMB229,Rent,0,30258,-30258,Online Wallet,Warning: Negative cashflow
TXN_NEW00136,2025-03-14,SMB239,Miscellaneous,0,5461,-5461,Bank Transfer,Warning: Negative cashflow
TXN_NEW00137,2024-06-11,SMB210,Inventory Purchase,0,9734,-9734,Cash,Warning: Negative cashflow
TXN_NEW00138,2025-04-26,SMB234,Loan Repayment,0,26488,-26488,Credit,Warning: Negative cashflow
TXN_NEW00139,2025-06-29,SMB211,Payroll,0,16124,-16124,Credit,Warning: Negative cashflow
TXN_NEW00140,2025-01-28,SMB250,Loan Repayment,0,13232,-13232,Online Wallet,Warning: Negative cashflow
TXN_NEW00141,2024-09-01,SMB209,Miscellaneous,10907,0,10907,Cash,Normal transaction
TXN_NEW00142,2025-01-27,SMB213,Sales Revenue,34875,0,34875,Cash,Normal transaction
TXN_NEW00143,2024-09-06,SMB208,Sales Revenue,11645,24995,-24995,Bank Transfer,Warning: Negative cashflow
TXN_NEW00144,2024-12-05,SMB246,Rent,0,5162,-5162,Bank Transfer,Warning: Negative cashflow
TXN_NEW00145,2024-06-12,SMB240,Miscellaneous,7742,0,7742,Credit,Customer delay
TXN_NEW00146,2025-01-09,SMB238,Inventory Purchase,0,34199,-34199,Credit,Warning: Negative cashflow
TXN_NEW00147,2025-05-19,SMB229,Miscellaneous,0,11783,-11783,Credit,Warning: Negative cashflow
TXN_NEW00148,2025-03-20,SMB231,Miscellaneous,1025,0,1025,Credit,Seasonal effect
TXN_NEW00149,2025-06-08,SMB205,Sales Revenue,38081,0,38081,Online Wallet,Market fluctuation
TXN_NEW00150,2024-06-30,SMB229,Payroll,0,7079,-7079,Online Wallet,Warning: Negative cashflow
TXN_NEW00151,2025-07-01,SMB202,Payroll,0,4099,-4099,Bank Transfer,Warning: Negative cashflow
TXN_NEW00152,2025-06-26,SMB246,Sales Revenue,8101,0,8101,Bank Transfer,Market fluctuation
TXN_NEW00153,2024-12-20,SMB203,Miscellaneous,9821,0,9821,Bank Transfer,Seasonal effect
TXN_NEW00154,2025-07-28,SMB216,Payroll,0,6073,-6073,Bank Transfer,Warning: Negative cashflow
TXN_NEW00155,2024-09-08,SMB235,Miscellaneous,0,2124,-2124,Cash,Warning: Negative cashflow
TXN_NEW00156,2024-09-04,SMB209,Inventory Purchase,0,7075,-7075,Bank Transfer,Warning: Negative cashflow
TXN_NEW00157,2025-05-05,SMB214,Payroll,0,31831,-31831,Bank Transfer,Warning: Negative cashflow
TXN_NEW00158,2025-07-20,SMB216,Miscellaneous,6784,0,6784,Cash,Normal transaction
TXN_NEW00159,2025-05-27,SMB236,Inventory Purchase,0,143517,-122692,Credit,Warning: Negative cashflow
TXN_NEW00160,2025-07-31,SMB242,Miscellaneous,3137,0,3137,Online Wallet,Normal transaction
TXN_NEW00161,2024-08-23,SMB240,Sales Revenue,14083,0,14083,Online Wallet,Normal transaction
TXN_NEW00162,2025-06-21,SMB207,Loan Repayment,0,33978,-33978,Cash,Warning: Negative cashflow
TXN_NEW00163,2025-02-04,SMB246,Rent,0,16654,-16654,Credit,Warning: Negative cashflow
TXN_NEW00164,2025-04-23,SMB219,Loan Repayment,0,19988,-19988,Cash,Warning: Negative cashflow
TXN_NEW00165,2025-01-09,SMB204,Rent,0,6915,-6915,Bank Transfer,Warning: Negative cashflow
TXN_NEW00166,2025-06-01,SMB202,Loan Repayment,0,127559,-104257,Bank Transfer,Warning: Negative cashflow
TXN_NEW00167,2025-06-06,SMB249,Loan Repayment,0,9953,-9953,Credit,Warning: Negative cashflow
TXN_NEW00168,2024-06-09,SMB238,Miscellaneous,1852,0,1852,Cash,Seasonal effect
TXN_NEW00169,2025-02-25,SMB206,Rent,0,7784,-7784,Online Wallet,Warning: Negative cashflow
TXN_NEW00170,2025-07-20,SMB218,Sales Revenue,15706,0,15706,Credit,Normal transaction
TXN_NEW00171,2025-07-26,SMB224,Loan Repayment,0,32359,-32359,Bank Transfer,Warning: Negative cashflow
TXN_NEW00172,2025-06-30,SMB244,Loan Repayment,0,31434,-31434,Cash,Warning: Negative cashflow
TXN_NEW00173,2025-03-14,SMB224,Payroll,0,13584,-13584,Online Wallet,Warning: Negative cashflow
TXN_NEW00174,2025-06-08,SMB209,Miscellaneous,0,8002,-8002,Online Wallet,Warning: Negative cashflow
TXN_NEW00175,2025-05-08,SMB232,Miscellaneous,0,10382,-10382,Bank Transfer,Warning: Negative cashflow
TXN_NEW00176,2024-07-13,SMB229,Loan Repayment,0,13243,-13243,Bank Transfer,Warning: Negative cashflow
TXN_NEW00177,2024-06-13,SMB208,Payroll,0,2704,-2704,Credit,Warning: Negative cashflow
TXN_NEW00178,2025-01-28,SMB242,Inventory Purchase,0,32811,-32811,Online Wallet,Warning: Negative cashflow
TXN_NEW00179,2024-10-04,SMB221,Inventory Purchase,0,26786,-26786,Credit,Warning: Negative cashflow
TXN_NEW00180,2025-08-13,SMB237,Miscellaneous,0,7514,-7514,Online Wallet,Warning: Negative cashflow
TXN_NEW00181,2024-12-20,SMB238,Miscellaneous,0,3581,-3581,Credit,Warning: Negative cashflow
TXN_NEW00182,2024-10-16,SMB201,Sales Revenue,42777,0,42777,Cash,Market fluctuation
TXN_NEW00183,2024-08-07,SMB236,Miscellaneous,8628,0,8628,Online Wallet,Customer delay
TXN_NEW00184,2024-11-22,SMB220,Miscellaneous,7549,0,7549,Credit,Market fluctuation
TXN_NEW00185,2025-02-13,SMB203,Payroll,0,15688,-15688,Credit,Warning: Negative cashflow
TXN_NEW00186,2025-01-19,SMB215,Payroll,0,91460,-91460,Bank Transfer,Warning: Negative cashflow
TXN_NEW00187,2025-07-10,SMB246,Inventory Purchase,0,333040,-333040,Online Wallet,Warning: Negative cashflow
TXN_NEW00188,2025-04-28,SMB233,Rent,0,10257,-10257,Online Wallet,Warning: Negative cashflow
TXN_NEW00189,2025-01-01,SMB228,Rent,0,33963,-33963,Online Wallet,Warning: Negative cashflow
TXN_NEW00190,2024-10-28,SMB204,Payroll,0,8212,-8212,Bank Transfer,Warning: Negative cashflow
TXN_NEW00191,2024-07-11,SMB231,Inventory Purchase,0,23977,-23977,Credit,Warning: Negative cashflow
TXN_NEW00192,2025-04-08,SMB240,Sales Revenue,28493,3295,-3295,Cash,Warning: Negative cashflow
TXN_NEW00193,2024-06-16,SMB225,Rent,0,7969,-7969,Cash,Warning: Negative cashflow
TXN_NEW00194,2025-01-08,SMB236,Payroll,0,22743,-22743,Credit,Warning: Negative cashflow
TXN_NEW00195,2025-08-04,SMB217,Miscellaneous,10262,0,10262,Online Wallet,Customer delay
TXN_NEW00196,2025-07-05,SMB230,Miscellaneous,9366,0,9366,Bank Transfer,Customer delay
TXN_NEW00197,2025-08-16,SMB201,Sales Revenue,30368,0,30368,Credit,Seasonal effect
TXN_NEW00198,2025-05-18,SMB220,Rent,0,18668,-18668,Bank Transfer,Warning: Negative cashflow
